data	D00035	D00110	D00136	D00195	D00219	D00225	D00227	D00228	D00234	D00252	D00274	D00283	D00293	D00294	D00303	D00319	D00326	D00329	D00331	D00332	D00335	D00336	D00338	D00340	D00345	D00349	D00351	D00354	D00358	D00364	D00367	D00373	D00379	D00380	D00392	D00394	D00418	D00437	D00438	D00451	D00456	D00464	D00474	D00477	D00480	D00495	D00499	D00504	D00512	D00513	D00519	D00521	D00524	D00528	D00530	D00533	D00536	D00537	D00538	D00539	
D00480	0.67377	0.7527	0.81765	0.68561	0.86265	0.91018	0.69534	0.95966	0.75872	0.88351	0.75872	0.91092	0.97511	0.8802	0.84429	0.78543	0.96047	0.84169	0.87885	0.69392	0.73142	0.70949	0.85258	0.95805	0.81641	0.76726	0.63636	0.89868	0.83991	0.81578	0.96208	0.9404	0.92145	0.93814	0.71406	0.95995	0.89536	0.74052	0.67788	0.9087	0.9776	0.97843	0.83825	0.90117	1.0	0.73503	0.89785	0.73835	0.97594	0.89868	0.9404	0.70253	0.83327	0.87605	0.86881	0.94146	0.85507	0.68032	0.80045	0.67543	
D00495	0.88417	0.59711	0.63586	0.5519	0.66953	0.69326	0.55838	0.72682	0.59547	0.81063	0.5982	0.69474	0.74019	0.81454	0.65059	0.61583	0.72763	0.65059	0.67586	0.92365	0.58205	0.56812	0.65816	0.72682	0.63648	0.60403	0.51964	0.7963	0.85944	0.63524	0.72521	0.71421	0.70763	0.76953	0.954	0.75269	0.79724	0.58776	0.54676	0.694	0.74102	0.74102	0.85734	0.80102	0.73688	1.0	0.80763	0.97393	0.73936	0.7963	0.715	0.56317	0.85313	0.81845	0.6661	0.766	0.83413	0.55065	0.89244	0.89982	
D00499	0.72613	0.70376	0.75519	0.64274	0.80284	0.83442	0.65032	0.87963	0.70102	0.95348	0.7054	0.83738	0.89764	0.95253	0.77495	0.73045	0.88285	0.77755	0.81119	0.75566	0.68473	0.6653	0.78822	0.88205	0.75643	0.71285	0.59732	0.97357	0.91235	0.75643	0.87883	0.86266	0.85499	0.93801	0.77764	0.91762	0.97357	0.6903	0.63642	0.83516	0.8993	0.90012	0.91424	0.98301	0.89847	0.80623	1.0	0.79679	0.89681	0.97734	0.86579	0.65672	0.91141	0.95348	0.79805	0.93095	0.93339	0.63953	0.86273	0.70561	
D00504	0.88808	0.59875	0.63773	0.5519	0.66816	0.69474	0.55885	0.72682	0.59656	0.82236	0.5982	0.69548	0.74434	0.81356	0.65254	0.61816	0.73004	0.6532	0.68078	0.91844	0.58205	0.56812	0.6615	0.72843	0.63524	0.6057	0.52044	0.80102	0.8626	0.63835	0.73004	0.71343	0.70687	0.77129	0.94227	0.75611	0.7963	0.58881	0.5481	0.69548	0.74102	0.74019	0.86155	0.80385	0.74019	0.97393	0.79819	1.0	0.74351	0.80196	0.71578	0.56413	0.85102	0.81552	0.66816	0.77394	0.84427	0.54837	0.90385	0.88026	
D00512	0.67709	0.75544	0.82138	0.68608	0.86402	0.91018	0.69534	0.95644	0.75818	0.87937	0.75599	0.91314	0.98092	0.8802	0.84625	0.78602	0.96208	0.84103	0.88096	0.6964	0.73246	0.70998	0.85392	0.96047	0.81641	0.76615	0.63596	0.90117	0.8424	0.81952	0.96369	0.93805	0.92449	0.94395	0.71904	0.96409	0.89868	0.74	0.67833	0.90944	0.9776	0.98009	0.84571	0.902	0.97594	0.73752	0.89619	0.74167	1.0	0.90283	0.94118	0.70782	0.83576	0.87771	0.86676	0.93897	0.8642	0.68032	0.80294	0.67543	
D00513	0.72519	0.70266	0.7583	0.64321	0.79668	0.8396	0.65126	0.87883	0.7054	0.9582	0.7043	0.84256	0.89847	0.95442	0.78212	0.7287	0.88205	0.77755	0.81189	0.75189	0.68112	0.66237	0.78688	0.88124	0.75519	0.71285	0.59812	0.97829	0.91329	0.76079	0.88446	0.86266	0.84891	0.93536	0.77103	0.92446	0.97451	0.68978	0.63417	0.83664	0.90012	0.8993	0.91329	0.97923	0.8993	0.7949	0.97734	0.80057	0.90344	1.0	0.86422	0.65864	0.90574	0.95536	0.80147	0.93889	0.93527	0.63862	0.87028	0.72613	
D00519	0.65599	0.78073	0.84577	0.70659	0.89837	0.94066	0.71857	0.95989	0.78019	0.85062	0.78128	0.94362	0.93933	0.84749	0.86789	0.81467	0.95676	0.86919	0.91689	0.67264	0.75838	0.73452	0.88209	0.96771	0.84702	0.79196	0.65469	0.86336	0.80559	0.84577	0.95832	0.97732	0.95734	0.90212	0.69554	0.9219	0.86257	0.7659	0.69951	0.94066	0.93933	0.94168	0.80637	0.86257	0.94011	0.71297	0.86492	0.71375	0.94089	0.86336	1.0	0.72328	0.80794	0.84358	0.89974	0.90604	0.82771	0.70185	0.77464	0.65599	
D00521	0.5221	0.90059	0.82965	0.95397	0.78444	0.74513	0.96739	0.71207	0.90011	0.64257	0.90011	0.74897	0.70328	0.64161	0.80729	0.86368	0.71735	0.80873	0.77134	0.53616	0.9303	0.96384	0.79755	0.71158	0.82965	0.88557	0.8686	0.65375	0.6202	0.83013	0.71255	0.72469	0.73443	0.67948	0.54687	0.69066	0.65231	0.92007	0.9343	0.74609	0.70232	0.7004	0.62164	0.65663	0.7004	0.55997	0.65423	0.56093	0.70569	0.65615	0.72133	1.0	0.61684	0.64113	0.78204	0.679	0.63235	0.94511	0.59448	0.52402	
D00524	0.77439	0.66253	0.70834	0.60874	0.74788	0.78019	0.61525	0.82142	0.66034	0.92843	0.66308	0.78093	0.836	0.93039	0.72587	0.68543	0.82223	0.72847	0.75693	0.80207	0.64171	0.62507	0.73794	0.82142	0.71021	0.66911	0.56666	0.90721	0.97473	0.70896	0.82223	0.80846	0.79469	0.8724	0.82869	0.85321	0.90627	0.64908	0.60038	0.78093	0.836	0.83849	0.97368	0.91004	0.83434	0.85215	0.91193	0.85005	0.83683	0.90627	0.80924	0.6196	1.0	0.92843	0.74583	0.86975	0.95022	0.60563	0.92254	0.77755	
D00528	0.74009	0.68892	0.74082	0.6311	0.78498	0.82251	0.64083	0.86426	0.69056	0.97751	0.69221	0.82029	0.88345	0.97653	0.75924	0.71292	0.86345	0.76184	0.79497	0.76579	0.67125	0.65108	0.77146	0.86184	0.74144	0.69659	0.58697	0.95932	0.93198	0.74019	0.86265	0.8485	0.83743	0.91673	0.79246	0.897	0.9546	0.67446	0.62201	0.81881	0.88179	0.88013	0.93003	0.9546	0.87682	0.81718	0.95365	0.81425	0.87847	0.95554	0.84459	0.6437	0.92807	1.0	0.78087	0.91496	0.95279	0.62716	0.88352	0.744	
D00530	0.61179	0.84451	0.92074	0.76389	0.97673	0.92961	0.77591	0.87907	0.84889	0.78414	0.84835	0.93029	0.86245	0.78209	0.95099	0.88136	0.8818	0.94838	0.9649	0.62841	0.81959	0.79293	0.96188	0.8818	0.91763	0.85983	0.70289	0.79871	0.7509	0.91825	0.88317	0.895	0.90957	0.834	0.64708	0.8513	0.79392	0.82828	0.75449	0.93098	0.86519	0.86519	0.7509	0.79802	0.86792	0.6637	0.79665	0.66575	0.86587	0.80008	0.89911	0.78355	0.74406	0.77935	1.0	0.83332	0.76478	0.75683	0.71629	0.61247	
D00533	0.70091	0.73343	0.78704	0.66372	0.83445	0.87452	0.67401	0.92166	0.7296	0.93213	0.73398	0.876	0.93845	0.91624	0.80636	0.7562	0.92408	0.81614	0.85064	0.72236	0.70756	0.68642	0.8244	0.92488	0.78393	0.73866	0.61883	0.93327	0.87335	0.79015	0.92327	0.90427	0.88556	0.97616	0.73938	0.96313	0.93327	0.71462	0.6558	0.87378	0.94426	0.9426	0.87688	0.93415	0.94177	0.76436	0.93062	0.77231	0.93928	0.93857	0.90661	0.68131	0.86893	0.91447	0.83445	1.0	0.90098	0.65833	0.83576	0.70091	
D00536	0.75914	0.68065	0.72831	0.61945	0.7678	0.80246	0.6271	0.84244	0.67627	0.96177	0.67901	0.8032	0.86512	0.95395	0.74744	0.70354	0.84807	0.75005	0.78297	0.78782	0.65726	0.63881	0.76004	0.84727	0.72582	0.6876	0.57979	0.9309	0.95814	0.72893	0.84646	0.82496	0.81454	0.89898	0.80737	0.87895	0.93185	0.66598	0.61389	0.80172	0.86512	0.85848	0.96118	0.93657	0.85599	0.83301	0.93373	0.84315	0.86512	0.93562	0.82887	0.63501	0.95003	0.95297	0.76643	0.90163	1.0	0.61663	0.90991	0.75914	
D00537	0.51321	0.87004	0.80174	0.96337	0.75879	0.72327	0.95229	0.69003	0.86639	0.62173	0.86776	0.72327	0.67849	0.62355	0.78095	0.83543	0.69049	0.77912	0.74588	0.52566	0.90054	0.93332	0.76759	0.69003	0.80174	0.85577	0.89253	0.63326	0.60276	0.80128	0.68957	0.70111	0.71401	0.65862	0.5372	0.66741	0.63417	0.88946	0.9645	0.72372	0.67849	0.67804	0.60185	0.63554	0.67804	0.54736	0.63691	0.54508	0.67804	0.636	0.69974	0.94486	0.60276	0.62446	0.75514	0.65588	0.61384	1.0	0.57786	0.51276	
D00538	0.81327	0.63724	0.68084	0.58405	0.71558	0.74823	0.59345	0.78181	0.63669	0.89304	0.63669	0.75119	0.79934	0.88229	0.69902	0.65794	0.78584	0.69836	0.73293	0.83869	0.61836	0.602	0.70576	0.79067	0.67773	0.64442	0.54872	0.86832	0.9303	0.68333	0.78664	0.76841	0.76032	0.83337	0.86639	0.81882	0.86171	0.62476	0.57875	0.74569	0.80183	0.801	0.93241	0.86643	0.80183	0.89181	0.8636	0.90321	0.80432	0.87115	0.77624	0.59741	0.92293	0.88425	0.71832	0.8369	0.91048	0.5809	1.0	0.80985	
D00539	0.97719	0.55698	0.59026	0.51882	0.61868	0.63829	0.52426	0.667	0.55588	0.74092	0.55807	0.64125	0.68022	0.74581	0.60347	0.57256	0.66861	0.60412	0.62441	0.95087	0.5442	0.53229	0.60989	0.66861	0.59026	0.56308	0.48977	0.72616	0.78227	0.58964	0.6662	0.65767	0.65113	0.7048	0.91897	0.6917	0.72805	0.54917	0.51386	0.63829	0.68105	0.68105	0.78227	0.73466	0.67773	0.90054	0.70701	0.88099	0.67773	0.72805	0.65845	0.52748	0.77911	0.74581	0.61526	0.70303	0.76083	0.5163	0.81112	1.0	
